"id","rss_feed"
"312","http://datadoghouse.typepad.com/data_doghouse/rss.xml"
"313","http://www.jenunderwood.com/feed/"
"314","http://www.sqlskills.com/blogs/glenn/feed/"
"315","http://www.artofbi.com/blog/feed/"
"316","https://datamakesworld.com/feed/"
"317","https://looker.com/feed"
"318","http://junkcharts.typepad.com/junk_charts/rss.xml"
"319","http://www.theguardian.com/data/rss"
"320","https://eagereyes.org/feed"
"321","http://www.visualisingdata.com/home/feed/"
"325","http://www.badscience.net/feed/"
"326","http://www.beyondtheboxscore.com/rss/current"
"327","https://blogstats.wordpress.com/feed/"
"328","http://www.thebestcolleges.org/feed/"
"329","http://blow.blogs.nytimes.com/feed/"
"330","http://www.dataists.com/feed/"
"332","http://www.elsblog.org/the_empirical_legal_studi/rss.xml"
"333","https://errorstatistics.com/feed/"
"337","http://www.nytimes.com/services/xml/rss/nyt/Politics.xml"
"339","http://www.hilarymason.com/feed/"
"341","http://www.informationisbeautiful.net/feed/"
"342","https://liesandstats.wordpress.com/feed/"
"344","http://math.williams.edu/feed/"
"345","http://messymatters.com/feed/"
"346","http://feedproxy.google.com/~r/marginalrevolution/feed/~3/lg6DCCGBOak/monday-assorted-links-60.html"
"349","http://www.overcomingbias.com/feed"
"350","https://permut.wordpress.com/feed/"
"351","http://www.statisticsblog.com/feed/"
"353","https://radfordneal.wordpress.com/feed/"
"354","http://www.radstats.org.uk/feed/"
"355","http://www.fda.gov/AboutFDA/ContactFDA/StayInformed/RSSFeeds/PressReleases/rss.xml"
"358","https://robinryder.wordpress.com/feed/"
"359","https://statisfaction.wordpress.com/feed/"
"362","https://statisticalsage.wordpress.com/feed/"
"364","https://whatsthebigdata.com/feed/"
"365","https://xianblog.wordpress.com/feed/"
"366","http://www.kaushik.net/avinash/comments/feed/"
"367","http://www.roirevolution.com/blog/feed/"
"368","https://www.mattcutts.com/blog/feed/"
"369","http://learninglover.com/blog/wp-includes/wlwmanifest.xml"
"370","https://lovestats.wordpress.com/feed/"
"371","http://machinelearningmastery.com/comments/feed/"
"372","http://marktab.net/feed/"
"373","http://www.mdmgeek.com/feed/"
"374","http://metabrown.com/blog/feed/"
"375","http://net-savvy.com/executive/rsd.xml"
"377","http://www.opengardensblog.futuretext.com/feed"
"378","https://blogs.oracle.com/datamining/feed/entries/atom"
"379","https://prateekvjoshi.com/feed/"
"380","http://datadoghouse.typepad.com/data_doghouse/atom.xml"
"381","http://rgrossman.com/feed.xml"
"382","http://info.salford-systems.com/rss.xml"
"385","http://www.statsblogs.com/feed/"
"386","http://www.information-management.com/reader_services/rss.html"
"387","http://www.tatvic.com/blog/feed/"
"388","http://odintext.com/feed/"
"389","https://community.dev.hpe.com/eidsp57264/rss/board?board.id=bigdata_blog_vertica"
"390","http://www.walkingrandomly.com/wp-includes/wlwmanifest.xml"
